Month,Company,Cost Center,Sales,COGS,Operating Expenses,Taxes,Depreciation,Assets,Liabilities,Current Assets,Current Liabilities
Jan,Alpha Corp,Sales,201958,102858.95,35850.62,12357.33,7655.32,4234489,1680238.27,1107813.13,940686.18
Jan,Alpha Corp,Marketing,96023,46108.1,15215.97,5653.83,4624.14,2791743,1808109.95,1042705.69,874213.84
Jan,Alpha Corp,Operations,210608,95817.15,44223.29,6711.37,10364.58,3500942,1704332.07,1425006.6,613392.75
Jan,Alpha Corp,IT,136886,74828.21,30116.9,8815.13,5531.46,3305416,1221402.37,1453646.29,720248.29
Jan,Alpha Corp,HR,234969,86829.13,59361.38,11185.96,5559.64,2256508,1353811.1,642366.75,564969.99
Jan,Alpha Corp,Finance,99457,43266.9,18020.74,5242.18,2082.57,4095505,2385794.86,1793420.77,1356200.8
Jan,Beta Holdings,Sales,243678,130215.39,39786.25,9220.61,5204.19,2579879,1556596.19,1030568.84,719003.67
Jan,Beta Holdings,Marketing,166807,70284.24,32050.33,8625.23,4041.35,3886222,1552856.9,983708.81,663101.65
Jan,Beta Holdings,Operations,213767,75054.54,58212.86,12457.12,8950.47,4109818,1529729.31,1322100.28,512093.28
Jan,Beta Holdings,IT,102662,53385.03,22320.53,3471.66,3195.31,2489570,1312972.67,759180.33,614960.98
Jan,Beta Holdings,HR,193252,105195.26,53595.94,11376.59,5233.18,2897421,1443317.47,1027270.67,618118.47
Jan,Beta Holdings,Finance,202409,88628.28,36485.82,13324.69,6934.76,2874371,1788634.68,861904.42,756797.94
Jan,Gamma Ltd,Sales,244899,131895.43,58734.08,14153.06,11366.75,3419945,2026098.93,1288227.45,1137529.29
Jan,Gamma Ltd,Marketing,175259,68997.38,37238.42,11449.88,5210.51,2075766,1284540.86,650961.66,427772.11
Jan,Gamma Ltd,Operations,208376,99924.22,31272.67,9189.96,6072.79,4548421,2288875.48,1516817.44,839175.78
Jan,Gamma Ltd,IT,93545,39057.19,27262.42,4015.71,3326.81,4215603,1935336.46,1873230.24,1139398.74
Jan,Gamma Ltd,HR,132733,64941.06,34091.22,4768.23,6627.65,2770746,1476445.48,971245.68,465735.32
Jan,Gamma Ltd,Finance,170084,71267.62,41696.55,9733.6,6110.78,4222809,2726647.23,1260132.89,1367797.13
Jan,Delta Group,Sales,178506,75674.21,33259.95,11089.79,6088.66,2106081,1137407.82,752197.23,372031.23
Jan,Delta Group,Marketing,236256,89811.18,53448.15,13663.28,10808.89,4209699,1494343.58,1483576.28,549841.83
Jan,Delta Group,Operations,213983,79010.08,62285.85,9822.44,7603.36,3056731,1744063.22,891997.89,806514.82
Jan,Delta Group,IT,110306,43649.19,19440.69,7642.74,3915.76,2373616,1002984.94,637602.04,570863.65
Jan,Delta Group,HR,197796,104144.99,35268.23,8140.27,8111.76,4688130,2845213.38,1551309.84,1611332.62
Jan,Delta Group,Finance,240371,88174.81,41883.28,15850.58,9180.46,3752290,1732375.37,1643603.16,1025737.99
Jan,Epsilon Inc,Sales,101357,46598.55,25722.81,5683.94,2709.08,3138848,1115617.55,1094763.46,394534.59
Jan,Epsilon Inc,Marketing,138871,66647.88,38520.53,7819.06,5145.07,2107450,970090.3,638642.65,362034.69
Jan,Epsilon Inc,Operations,127333,54577.41,36137.99,7034.58,5582.83,4937629,2683754.47,1894987.02,1500890.41
Jan,Epsilon Inc,IT,173179,85635.36,33270.43,5363.81,6817.05,3515536,2279351.04,1209305.37,874970.16
Jan,Epsilon Inc,HR,123525,52378.52,18815.14,8292.57,4057.24,2115294,1351854.77,889696.66,524972.07
Jan,Epsilon Inc,Finance,195668,75954.84,37229.99,9668.19,6101.05,2688105,1695781.45,1046226.49,798744.18
Feb,Alpha Corp,Sales,116631,45694.13,29236.07,5172.1,3221.92,3583593,2197501.95,1426820.9,1118758.62
Feb,Alpha Corp,Marketing,210858,103696.21,49113.68,8826.6,6872.58,3492785,2131023.91,1511146.83,966212.03
Feb,Alpha Corp,Operations,190627,97154.77,47179.15,11071.36,8363.53,3532875,2176198.52,902732.07,1030777.03
Feb,Alpha Corp,IT,222038,107556.37,44235.05,8038.15,10980.94,2284821,1204671.82,585142.77,374899.24
Feb,Alpha Corp,HR,207813,85339.05,47913.86,8949.68,9317.52,2251451,933780.99,843344.23,304043.05
Feb,Alpha Corp,Finance,243165,111400.46,59724.85,14357.35,11982.09,4900603,2765795.12,1265401.87,1160655.61
Feb,Beta Holdings,Sales,108251,53996.52,20311.04,4045.7,2427.66,4491518,2509825.5,1490243.4,883429.2
Feb,Beta Holdings,Marketing,96896,42486.03,18019.57,3270.72,2469.49,2187628,949387.17,964685.0,494981.11
Feb,Beta Holdings,Operations,220734,96490.46,57281.77,7043.32,8162.99,3904050,2254018.23,987251.08,754694.42
Feb,Beta Holdings,IT,158832,65483.68,47161.44,5878.88,3258.41,4873817,2424649.69,1679977.2,853381.07
Feb,Beta Holdings,HR,139101,66762.18,21867.91,9454.11,6482.16,2650419,1225510.77,994362.95,552632.9
Feb,Beta Holdings,Finance,121975,58760.08,21277.34,4003.55,4790.27,2618992,1598003.32,988095.19,863376.89
Feb,Gamma Ltd,Sales,91938,44006.83,20110.33,4764.66,4435.45,3548098,2115120.75,1349330.86,765684.94
Feb,Gamma Ltd,Marketing,231836,84358.69,38280.0,7124.06,5293.58,3673250,1656511.83,1400039.13,688477.77
Feb,Gamma Ltd,Operations,226377,80285.6,61613.09,9343.53,5330.03,3924596,1783732.73,1716342.12,556089.2
Feb,Gamma Ltd,IT,244568,124899.94,47031.69,9072.88,10398.65,2833727,1481408.36,1123089.75,501170.7
Feb,Gamma Ltd,HR,150640,76115.77,30296.8,10127.57,6892.14,3215856,1781434.47,1279852.01,661750.97
Feb,Gamma Ltd,Finance,191888,87667.01,43075.82,8747.16,5551.14,3612818,1686320.75,911035.39,963925.55
Feb,Delta Group,Sales,248011,104407.93,72796.22,14154.19,8550.34,2005486,752027.82,538153.78,361524.05
Feb,Delta Group,Marketing,222202,87224.41,64867.25,13610.28,5200.4,3138356,1563924.68,820716.98,727003.94
Feb,Delta Group,Operations,89348,44442.33,20718.67,5203.03,4383.37,4276360,2473674.08,1597834.6,817145.59
Feb,Delta Group,IT,81542,35488.57,14953.7,3740.01,3812.65,2517313,942493.65,672040.87,561718.56
Feb,Delta Group,HR,93807,49026.14,26458.64,3702.32,4430.58,2394540,1379287.26,778828.73,448337.62
Feb,Delta Group,Finance,106790,46437.03,30536.94,3678.69,3714.02,4626188,2181528.11,1685295.33,1139395.02
Feb,Epsilon Inc,Sales,224188,115357.74,58654.7,12832.87,6081.14,2755195,1200476.0,1167430.74,440669.23
Feb,Epsilon Inc,Marketing,194821,99440.9,57800.49,10177.49,5782.4,3855567,1959824.54,1729580.21,631335.86
Feb,Epsilon Inc,Operations,171362,83810.11,27643.29,6280.18,4541.83,4356366,2118772.27,1635866.04,1007040.37
Feb,Epsilon Inc,IT,230159,114485.72,66121.95,15730.93,5002.72,4485195,1713464.78,1422398.92,601261.6
Feb,Epsilon Inc,HR,141529,60525.4,26099.25,5751.39,4360.56,2791267,1802776.7,1087567.9,830771.62
Feb,Epsilon Inc,Finance,158752,68619.18,38166.72,6483.16,3809.34,2122402,1266567.11,933771.95,655721.87
Mar,Alpha Corp,Sales,130990,69927.09,21274.38,8523.06,4787.37,2525303,1169061.27,1040704.3,696974.27
Mar,Alpha Corp,Marketing,192816,82013.86,50602.0,8815.47,8652.6,3881548,1432499.06,998972.17,487272.63
Mar,Alpha Corp,Operations,80404,29047.96,22489.67,5026.54,4019.52,4332517,2703272.79,1590163.31,1399852.65
Mar,Alpha Corp,IT,84809,44094.7,15867.95,4072.68,2024.8,3364652,1789498.21,995023.69,897451.61
Mar,Alpha Corp,HR,188319,67677.95,35837.27,5816.68,6580.8,4683317,2724264.51,1658047.36,1513749.7
Mar,Alpha Corp,Finance,195765,106416.83,31960.84,12073.36,7380.08,4378494,1570280.33,1755896.29,763302.07
Mar,Beta Holdings,Sales,248513,126992.36,70943.67,13591.31,12279.99,4860337,2561277.58,1596371.9,1104531.69
Mar,Beta Holdings,Marketing,155745,65358.56,35369.44,9554.35,4967.69,2070390,1049854.77,806475.65,565810.34
Mar,Beta Holdings,Operations,135479,70234.79,35947.68,4423.31,2895.98,4957061,2467552.73,1565193.61,1209150.82
Mar,Beta Holdings,IT,223087,93320.11,51441.52,10798.47,8375.35,2666997,1491652.15,762797.03,759177.02
Mar,Beta Holdings,HR,181570,82259.78,53738.65,9818.84,4850.73,4154260,1664531.05,1270032.34,587751.15
Mar,Beta Holdings,Finance,159252,73215.0,36654.0,7045.25,7457.22,4094157,1838398.72,1286861.32,602419.68
Mar,Gamma Ltd,Sales,102574,48782.15,16644.05,6661.48,4885.21,4281020,1501689.81,1813697.88,488582.44
Mar,Gamma Ltd,Marketing,130428,71376.91,30062.17,8733.68,3532.45,2815131,1296857.92,964201.91,679866.46
Mar,Gamma Ltd,Operations,84621,32117.72,14382.82,4864.58,3836.14,4546026,2316809.62,1233947.85,1006013.67
Mar,Gamma Ltd,IT,185186,79524.94,30690.95,11017.86,4716.41,4098214,1830359.7,1197865.34,728939.3
Mar,Gamma Ltd,HR,127915,50736.63,25767.07,6262.56,3921.0,3655016,1825799.86,977293.01,841934.67
Mar,Gamma Ltd,Finance,92910,46370.26,19952.32,3261.44,2649.17,3002163,1632501.7,1093254.65,664149.06
Mar,Delta Group,Sales,97260,40466.94,28210.63,2947.11,2602.68,2525893,1070441.42,712646.04,381045.15
Mar,Delta Group,Marketing,156125,60057.34,44419.88,5184.81,5579.18,3033255,1695857.8,1363299.82,964914.39
Mar,Delta Group,Operations,121427,66043.43,33978.44,7611.39,3368.03,3030117,1668361.11,1320752.85,779172.8
Mar,Delta Group,IT,159239,70912.93,43916.11,6083.42,7809.05,2064323,985984.52,725655.11,367499.03
Mar,Delta Group,HR,207534,101991.76,55031.15,6950.65,7301.69,3605118,1782161.35,1285289.05,562355.78
Mar,Delta Group,Finance,145545,66910.04,33815.68,5540.78,5899.98,2656702,1473010.59,1068115.28,705117.83
Mar,Epsilon Inc,Sales,159767,75285.47,43000.24,5474.89,7272.89,2786667,1316854.78,1216624.29,786529.5
Mar,Epsilon Inc,Marketing,164555,70075.04,47551.03,9686.34,3528.53,3135964,1229083.74,1282776.93,443070.18
Mar,Epsilon Inc,Operations,168861,86967.9,30050.63,6657.8,6587.73,4746941,2172433.49,2019539.09,907498.32
Mar,Epsilon Inc,IT,123303,54301.37,31697.18,8136.36,4774.67,4315286,2078342.73,1577225.18,845072.31
Mar,Epsilon Inc,HR,91246,38941.81,21126.45,6045.86,3533.7,4951090,2373841.9,1567332.68,1232415.02
Mar,Epsilon Inc,Finance,160910,84594.54,36094.29,9599.64,5984.97,4672796,1848102.33,1459521.73,692200.71
Apr,Alpha Corp,Sales,82336,29369.79,19388.77,4981.19,3812.4,3223520,1227757.57,1151751.67,507857.58
Apr,Alpha Corp,Marketing,208876,78432.46,43778.97,12927.71,5116.94,4460491,2594063.64,1126009.09,1243938.63
Apr,Alpha Corp,Operations,155683,71387.64,29232.57,6823.25,3961.81,3062729,1386672.84,904945.14,592218.93
Apr,Alpha Corp,IT,195033,105211.85,33741.24,10424.36,6860.61,2541656,1084790.62,1004511.04,518409.37
Apr,Alpha Corp,HR,117219,62565.65,31474.79,3624.52,4634.96,2500315,1155972.16,659543.86,373605.95
Apr,Alpha Corp,Finance,214869,114339.8,36188.58,8473.63,5364.34,4745525,2853233.79,1501623.07,1122557.13
Apr,Beta Holdings,Sales,199719,94183.26,41321.03,11937.2,5226.13,4922808,1729823.57,1559052.48,725575.55
Apr,Beta Holdings,Marketing,219649,97335.26,48789.65,14658.98,8261.45,4663354,2265139.59,1297211.73,799404.22
Apr,Beta Holdings,Operations,147526,56517.6,22878.61,6263.8,6404.82,3045482,1643583.55,769346.29,820248.8
Apr,Beta Holdings,IT,150480,81592.37,25927.62,7010.11,3394.9,3038896,1336745.85,948097.22,560357.76
Apr,Beta Holdings,HR,213554,83709.14,60800.56,8158.96,5492.74,3790380,1756150.46,1581774.71,836342.21
Apr,Beta Holdings,Finance,244608,123552.85,53322.91,12469.04,8126.58,3599601,1796573.76,1450895.7,594476.28
Apr,Gamma Ltd,Sales,132487,69205.53,38675.25,5952.96,3725.84,3910637,1986500.12,1603947.59,1179344.26
Apr,Gamma Ltd,Marketing,106399,52475.4,26476.18,3307.29,2836.51,4602967,1881849.09,1616108.97,900492.44
Apr,Gamma Ltd,Operations,242552,123697.45,42878.75,13609.55,6584.19,4694946,1985735.19,1851937.35,1105476.53
Apr,Gamma Ltd,IT,164458,89223.38,47966.06,5861.82,5294.19,2047057,724454.65,546772.42,262517.65
Apr,Gamma Ltd,HR,231151,89290.65,54888.25,10831.04,10813.28,2260910,1215077.2,717100.0,665293.89
Apr,Gamma Ltd,Finance,174914,81870.07,33270.31,9614.32,5646.63,3242845,1487906.04,1369173.27,544355.12
Apr,Delta Group,Sales,228843,86507.83,64137.87,11327.1,10718.22,2217215,897156.45,769275.32,407073.34
Apr,Delta Group,Marketing,115367,56503.2,24271.2,4467.12,4539.88,2116739,824856.91,910440.05,418504.81
Apr,Delta Group,Operations,154532,54654.59,44373.06,5363.81,5763.35,4653093,1722354.56,1540404.66,773749.65
Apr,Delta Group,IT,81622,30307.53,13957.59,3309.56,2285.0,3226476,1772984.06,919785.24,1018266.56
